_id,title,url,pub_date,price,area
ObjectId(585b8b9f2514971b044bae8f),【2图】年底广告公司设计用一批高配笔记本性能稳定速度快转急急-北京二手联想笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2340658126x.htm,12-22,300,"["" 北京"",""丰台"",""草桥""]"
ObjectId(585b8b9f2514971a24fafb22),【14图】双十二大降价全系列IBMT440T430T420T410-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2455382749x.htm,12-01,4688,"["" 北京"",""朝阳""]"
ObjectId(585b8b9f2514972b6c5cf356),【2图】办理 电信无线座机企业商话固话大灵通010靓号连号 办理-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2482319348x.htm,12-08,350,"["" 北京"",""延庆""]"
ObjectId(585b8b9f2514972708f213cb),【图】联想T420笔记本-北京二手联想二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2469368418x.htm,12-16,1400,"["" 北京"",""朝阳"",""太阳宫""]"
ObjectId(585b8ba02514972b6c5cf357),【2图】北京无线电话 无线座机 无线电话 固话靓号大灵通靓号办理安装-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2456734602x.htm,12-08,350,"["" 北京"",""平谷""]"
ObjectId(585b8ba02514971a24fafb23),【6图】双十二大降价苹果Pro+Air笔记本原装正品苹果全系列-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2472702371x.htm,12-01,4688,"["" 北京"",""朝阳""]"
ObjectId(585b8ba12514971b044bae90),"【15图】300多款现货出售,价价680元起,主要出售游戏型及商务型-北京二手惠普笔记本电脑-赶集网",http://bj.ganji.com/ershoubijibendiannao/2432343168x.htm,12-17,680,"["" 北京"",""东城""]"
ObjectId(585b8ba22514972708f213cc),【3图】办理 企业商话 电信无线座机010固话大灵通靓号电信办理-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466441636x.htm,12-14,350,"["" 北京"",""通州"",""临河里""]"
ObjectId(585b8ba22514971a24fafb24),【3图】出售个闲置电脑-北京二手宏基笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2471444897x.htm,11-30,700,"["" 北京"",""通州"",""其他""]"
ObjectId(585b8ba22514972b6c5cf358),【8图】macbook pro-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2463484168x.htm,12-07,3800,"["" 北京"",""昌平""]"
